,Wavenumber (cm-1),Best fit (AU),pseudo-voigt component 0 (AU),pseudo-voigt component 1 (AU),pseudo-voigt component 2 (AU),pseudo-voigt component 3 (AU)
0,2499.3320000000003,0.10672642447018386,9.00887111963331e-15,0.00011997629791015822,2.7902069079543357e-16,4.61179493797652e-17
1,2501.261,0.10684917936204558,9.076907059441049e-15,0.00012097751969675239,2.81663664810127e-16,4.6646761132108104e-17
2,2503.189,0.10697202213318559,9.145680587750146e-15,0.00012199079331391927,2.8434290094318243e-16,4.718441455909064e-17
3,2505.118,0.10709508058409163,9.2152748071374e-15,0.000123017381360682,2.8706189579497135e-16,4.773167777615817e-17
4,2507.0460000000003,0.10721822750155628,9.285629538684551e-15,0.00012405643526149825,2.8981856422522525e-16,4.828819969468129e-17
5,2508.975,0.10734159101097107,9.356829979118413e-15,0.00012510925339520584,2.92616517909486e-16,4.8854780381819806e-17
6,2510.903,0.10746504359246539,9.428814748205768e-15,0.00012617496925126172,2.9545362557001954e-16,4.9431061522214466e-17
7,2512.8320000000003,0.10758871369837732,9.501671208660899e-15,0.00012725491837008052,2.983336191126528e-16,5.0017876940403605e-17
8,2514.76,0.10771247350105974,9.575336749039958e-15,0.00012834821585285485,3.0125432003096587e-16,5.0614861060414567e-17
9,2516.689,0.10783645178190876,9.649900973014103e-15,0.00012945623585116294,3.0421958590899275e-16,5.122288339873871e-17
10,2518.617,0.10796052040437566,9.725300007214293e-15,0.0001305780746136063,3.072271899089606e-16,5.184157110528773e-17
11,2520.5460000000003,0.10808480848109961,9.801625774536087e-15,0.00013171514642438623,3.1028112105399585e-16,5.247183146309806e-17
12,2522.474,0.10820918756549187,9.878813108131926e-15,0.0001328665282040636,3.1337910306310414e-16,5.3113284358227704e-17
13,2524.403,0.10833378710369762,9.956956331863968e-15,0.00013403367596712828,3.165252624941366e-16,5.3766877067093785e-17
14,2526.331,0.10845847833793733,1.0035988952995444e-14,0.00013521564681951868,3.197172725044918e-16,5.443222224979526e-17
15,2528.26,0.10858339105020731,1.01160077817592e-14,0.00013641394018451777,3.2295940364067126e-16,5.5110309568680424e-17
16,2530.188,0.10870839617037377,1.0196944966242011e-14,0.00013762759285574635,3.2624927737666437e-16,5.580074452782223e-17
17,2532.117,0.1088336238187167,1.027889989231325e-14,0.00013885814942959934,3.295913150853577e-16,5.650456174863593e-17
18,2534.045,0.10895894461157196,1.036180331470119e-14,0.00014010462587864494,3.329830854357482e-16,5.72213596861737e-17
19,2535.974,0.1090844890100285,1.0445757288251259e-14,0.00014136861382784896,3.3642916787627347e-16,5.79522206910631e-17
20,2537.902,0.1092101273157034,1.0530691139238417e-14,0.00014264910790907372,3.39927077153773e-16,5.869673631915552e-17
21,2539.831,0.10933599033311801,1.0616709689123578e-14,0.00014394774872817815,3.4348155848281047e-16,5.9456039635621e-17
22,2541.759,0.10946194804796999,1.0703740799703554e-14,0.0001452635090459315,3.4709007158018135e-16,6.022971549630459e-17
23,2543.688,0.10958813161094119,1.0791892161234871e-14,0.00014659808050441347,3.507575355910867e-16,6.101895090156497e-17
24,2545.616,0.10971441069059709,1.0881090134064905e-14,0.00014795041345243398,3.5448135410927876e-16,6.18233242633046e-17
25,2547.545,0.10984091678661939,1.0971445384223368e-14,0.0001493222527332283,3.5826662888438494e-16,6.264407999536516e-17
26,2549.473,0.10996751924921688,1.1062882732675093e-14,0.0001507125257326368,3.6211070631545445e-16,6.348079038720851e-17
27,2551.402,0.11009434993002859,1.1155515933271787e-14,0.0001521230327766917,3.660188799780428e-16,6.433476102690918e-17
28,2553.33,0.11022127785967112,1.1249268228686806e-14,0.00015355267772753674,3.699884380335871e-16,6.520555847823281e-17
29,2555.259,0.11034843524482409,1.1344256578006103e-14,0.00015500331879999066,3.7402487569461823e-16,6.609455357429256e-17
30,2557.187,0.11047569079526545,1.144040260571417e-14,0.00015647383576258774,3.781254218793088e-16,6.700130763637929e-17
31,2559.116,0.11060317707593317,1.1537826599219054e-14,0.00015796614725750133,3.822957838833371e-16,6.792726115427751e-17
32,2561.044,0.11073076247450996,1.1636448523919774e-14,0.0001594791083812089,3.865331304229526e-16,6.887197078942472e-17
33,2562.973,0.11085857991755253,1.173639212464338e-14,0.00016101470088325596,3.908433920079901e-16,6.983695147518547e-17
34,2564.901,0.11098649746938273,1.1837575665798962e-14,0.00016257175460186895,3.952236762522565e-16,7.082175591023749e-17
35,2566.83,0.11111464842168911,1.1940126485095112e-14,0.00016415231722500254,3.996801487498591e-16,7.182797867275889e-17
36,2568.758,0.1112429005141585,1.2043961103032586e-14,0.0001657551927396328,4.0420985518252357e-16,7.285516932871583e-17
37,2570.687,0.1113713874072873,1.2149210592411186e-14,0.00016738249776451186,4.088192088971603e-16,7.3905007762926e-17
38,2572.615,0.11149997651484592,1.2255789685887714e-14,0.00016903300983667923,4.135051928992126e-16,7.497704139826291e-17
39,2574.544,0.11162880186998869,1.2363833340718464e-14,0.00017070891767058765,4.1827448182022315e-16,7.607304161198005e-17
40,2576.472,0.11175773055928238,1.2473254456763665e-14,0.0001724089717502859,4.231239953472088e-16,7.719255488751836e-17
41,2578.401,0.11188689699257544,1.2584192032694436e-14,0.0001741354362354161,4.280606838625289e-16,7.833745092589547e-17
42,2580.3289999999997,0.11201616792793925,1.2696557089608923e-14,0.0001758870339511597,4.330814032136537e-16,7.950727685466523e-17
43,2582.258,0.11214567815615199,1.2810492832613835e-14,0.00017766610804949369,4.38193395012217e-16,8.070400852739756e-17
44,2584.186,0.11227529410549532,1.2925908357075271e-14,0.00017947135308983447,4.433934508876812e-16,8.192719630514236e-17
45,2586.115,0.11240515095212586,1.3042951248121532e-14,0.00018130519497544273,4.486891202571769e-16,8.317893231298722e-17
46,2588.0429999999997,0.11253511479324088,1.316152862742641e-14,0.00018316629939415466,4.54077130321058e-16,8.44587762509271e-17
47,2589.972,0.11266532119505318,1.3281792642831736e-14,0.00018505717898662047,4.595653560699264e-16,8.576895402407548e-17
48,2591.9,0.11279563592238262,1.3403648393387734e-14,0.00018697646996678518,4.651504602594222e-16,8.710905436320156e-17
49,2593.8289999999997,0.112926194936421,1.3527252782027492e-14,0.000188926775942598,4.708406625166965e-16,8.848148203781448e-17
50,2595.757,0.113056863668323,1.3652508835302805e-14,0.00019090670305812768,4.7663256136472e-16,8.988592777863855e-17
51,2597.686,0.11318777847944578,1.3779578413925658e-14,0.00019291895038042723,4.825347415392518e-16,9.132512645187943e-17
52,2599.614,0.11331880446599848,1.3908362421164463e-14,0.00019496209339725252,4.885437378068846e-16,9.279914994604112e-17
53,2601.5429999999997,0.11345007839497345,1.4039027889179136e-14,0.0001970389314081323,4.946685220186023e-16,9.431161959647981e-17
54,2603.471,0.11358146502636593,1.4171473546303833e-14,0.00019914800867135935,5.009055659670064e-16,9.586404876193421e-17
55,2605.4,0.1137131015385774,1.430587182151895e-14,0.00020129222979527246,5.072642522981143e-16,9.746301725519299e-17
56,2607.328,0.11384485235413676,1.4442119215760702e-14,0.00020347010725310841,5.1374099096671e-16,9.911543043279147e-17
57,2609.257,0.11397685506895679,1.4580393792685254e-14,0.00020568465636463664,5.203456009201663e-16,1.008384377835032e-16
58,2611.185,0.11410897376686846,1.4720589772619894e-14,0.0002079343572849175,5.270744318199178e-16,1.0265872294964147e-16
59,2613.114,0.1142413464677511,1.4862891105073732e-14,0.00021022234179947382,5.339377664172104e-16,1.0463137364994189e-16
60,2615.042,0.11437383691553271,1.5007189675885218e-14,0.00021254705724016294,5.409318960951258e-16,1.0685400017693109e-16
61,2616.971,0.11450658356089552,1.515367558582185e-14,0.00021491175799204367,5.480675970956395e-16,1.0951575017455292e-16
62,2618.899,0.11463944980669251,1.5302238331777832e-14,0.00021731485809327406,5.5534110508014e-16,1.1296263597672715e-16
63,2620.828,0.11477257454165658,1.545307444639141e-14,0.00021975974107201474,5.627637218613563e-16,1.1784736833082262e-16
64,2622.756,0.11490582082643373,1.5606070982692262e-14,0.0002222447872441208,5.703316305586634e-16,1.2536525212069787e-16
65,2624.685,0.11503932799549993,1.5761431202066476e-14,0.0002247735162673751,5.780566932608822e-16,1.3773474592606145e-16
66,2626.613,0.11517295876621103,1.5919039658424123e-14,0.00022734427435703336,5.859350444411848e-16,1.5898543466907702e-16
67,2628.542,0.1153068529269594,1.6079106656185443e-14,0.00022996072476630166,5.939791440536048e-16,1.9649858876248786e-16
68,2630.47,0.11544087285078594,1.624151419470314e-14,0.00023262117929145936,6.021850826437632e-16,2.635352251460442e-16
69,2632.3979999999997,0.11557508912328131,1.6406393785815037e-14,0.00023532803656796703,6.10561569076309e-16,3.840092410381754e-16
70,2634.327,0.11570957276845163,1.6573883324527283e-14,0.00023808382231987145,6.191178247809996e-16,6.00772429493052e-16
71,2636.256,0.1158442555129324,1.674394971446998e-14,0.00024088826291452956,6.27854462073405e-16,9.89757061900019e-16
72,2638.184,0.11597906870376196,1.6916555848303323e-14,0.0002437410168493439,6.367718914405801e-16,1.6846646915806834e-15
73,2640.113,0.11611415354555103,1.709193523858066e-14,0.0002466462283724979,6.458846253442534e-16,2.9216059938549255e-15
74,2642.0409999999997,0.1162493713730044,1.7269961889362872e-14,0.0002496021048865222,6.551886610573099e-16,5.109665213344185e-15
75,2643.969,0.11638479358998495,1.7450783291582676e-14,0.0002526113948320421,6.646943108124796e-16,8.960601897073493e-15
76,2645.8979999999997,0.11652049206268361,1.7634554242043923e-14,0.00025567699551180324,6.744125087863139e-16,1.5704782750724465e-14
77,2647.8259999999996,0.11665632760426235,1.7821144563988937e-14,0.0002587970621179204,6.84339235409416e-16,2.743622644822597e-14
78,2649.755,0.11679244267131297,1.801080982021675e-14,0.00026197620665786213,6.944910706330417e-16,4.774732997543518e-14
