,Wavenumber (cm-1),Best fit (AU),pseudo-voigt component 0 (AU),pseudo-voigt component 1 (AU)
0,1799.2879999999998,0.0878313725353748,1.3123729195220692e-12,6.445215468013864e-10
1,1801.2160000000001,0.08783235991184171,2.2117062290652118e-12,6.550829643515389e-10
2,1803.145,0.0878333478123977,3.707034977702671e-12,6.65910456209399e-10
3,1805.0729999999999,0.08783433521316897,6.1762150481042855e-12,6.770013851830422e-10
4,1807.0020000000002,0.08783532313905147,1.0233980322333124e-11,6.883762064230088e-10
5,1808.93,0.08783631056674686,1.6856437158309043e-11,7.000324429734765e-10
6,1810.859,0.08783729852212988,2.7612825180593342e-11,7.119919009806837e-10
7,1812.787,0.08783828598336337,4.4963231123107613e-11,7.242522998431901e-10
8,1814.7160000000001,0.08783927397868548,7.281576998700754e-11,7.368369162528153e-10
9,1816.644,0.08784026148982457,1.1721888038960603e-10,7.497437078295313e-10
10,1818.5729999999999,0.08784124955062997,1.8766719975979468e-10,7.629975545787198e-10
11,1820.501,0.0878422371512642,2.9866611088930767e-10,7.765967009286127e-10
12,1822.43,0.08784322533860643,4.727152588347012e-10,7.905677780185499e-10
13,1824.358,0.08784421312221903,7.43742575579244e-10,8.049093736601597e-10
14,1826.287,0.08784520157850703,1.1637486404825106e-09,8.196500353631977e-10
15,1828.215,0.08784618976047,1.8101212119731148e-09,8.347887608381479e-10
16,1830.144,0.08784717880973554,2.800058271771345e-09,8.503562002220339e-10
17,1832.0720000000001,0.08784816787400554,4.30567246025754e-09,8.663518414719316e-10
18,1834.001,0.0878491582352783,6.5845070878141174e-09,8.828086517772877e-10
19,1835.9289999999999,0.08785014924229477,1.0009736332272141e-08,8.997267134587303e-10
20,1837.858,0.08785114247127136,1.5133095978533047e-08,9.171415714828363e-10
21,1839.786,0.08785213768642063,2.2743254091932925e-08,9.350540595805052e-10
22,1841.715,0.08785313706434393,3.399230544083933e-08,9.53502660201715e-10
23,1843.6429999999998,0.08785414120490796,5.0504594201125926e-08,9.724892580957974e-10
24,1845.5720000000001,0.08785515347708345,7.462455793147151e-08,9.920558918421305e-10
25,1847.5,0.08785617611601938,1.0961184437689396e-07,1.012206214977254e-09
26,1849.4289999999999,0.08785721479453563,1.601147122907478e-07,1.0329871851019545e-09
27,1851.3570000000002,0.08785827486000879,2.325050562569627e-07,1.0544061927401792e-09
28,1853.286,0.08785936631420765,3.3576005251681447e-07,1.0765186670233293e-09
29,1855.214,0.087860500262441,4.820095414500187e-07,1.099341405443525e-09
30,1857.1429999999998,0.08786169461316225,6.881373424360618e-07,1.1229482482725594e-09
31,1859.0710000000001,0.08786297082192136,9.766235343526155e-07,1.1473817947719218e-09
32,1861.0,0.08786436082715086,1.3783818460002823e-06,1.172762478290881e-09
33,1862.9279999999999,0.08786590415015887,1.93395806495714e-06,1.199205367993395e-09
34,1864.8570000000002,0.08786765690058855,2.698436982120099e-06,1.2269564415577568e-09
35,1866.785,0.0878696891959821,3.742960439953796e-06,1.2563330114031282e-09
36,1868.714,0.08787209754747653,5.163014358220252e-06,1.2879229600032272e-09
37,1870.642,0.08787500230779295,7.0799752276592246e-06,1.3225972941134154e-09
38,1872.5710000000001,0.08787856544716156,9.654787118589988e-06,1.3618635119079076e-09
39,1874.499,0.087882987194523,1.3088701284840544e-05,1.4080720423414394e-09
40,1876.4279999999999,0.08788853221529046,1.7645354536605204e-05,1.4651505112731572e-09
41,1878.356,0.08789552357583669,2.364883173341074e-05,1.5392987929894039e-09
42,1880.285,0.08790438173991119,3.151856179046056e-05,1.6406527379914927e-09
43,1882.213,0.08791561217841626,4.1761024375401405e-05,1.7851567491170942e-09
44,1884.142,0.08792986353901848,5.50238167984855e-05,1.9984456241933406e-09
45,1886.07,0.08794790227733028,7.207437947474197e-05,2.3204495216772345e-09
46,1887.999,0.0879706989887621,9.388221980719087e-05,2.8144313639756422e-09
47,1889.9270000000001,0.08799937892990863,0.00012157352182764015,3.5777098396122187e-09
48,1891.856,0.088035349040917,0.00015655404885417436,4.762346382637092e-09
49,1893.7839999999999,0.08808020673100686,0.00020042200413757696,6.5990887377828445e-09
50,1895.713,0.08813592481940997,0.00025514882642946763,9.443626378979549e-09
51,1897.641,0.08820469214670389,0.00032292384898652244,1.382808214178857e-08
52,1899.57,0.08828917981773524,0.0004064163425480409,2.0561749647503628e-08
53,1901.4979999999998,0.08839227597812122,0.0005085142843334064,3.083785166347318e-08
54,1903.4270000000001,0.08851746465261674,0.0006326988836950749,4.6446953934493e-08
55,1905.355,0.08866840370717609,0.0007826264302597328,6.999023204580834e-08
56,1907.2839999999999,0.08884945746666792,0.0009626563727039003,1.053190183398903e-07
57,1909.2120000000002,0.08906505235257196,0.001177210646079148,1.5794461206759447e-07
58,1911.141,0.08932041635415676,0.0014315081636075404,2.359181768439105e-07
59,1913.069,0.08962063266122133,0.0017306217934718662,3.5058622304810943e-07
60,1914.9979999999998,0.08997165257640918,0.0020804854596605865,5.183024997897547e-07
61,1916.9260000000002,0.0903789559117554,0.0024865573073100367,7.617588229975608e-07
62,1918.855,0.09084891807005746,0.002955179447220458,1.113222260988644e-06
63,1920.783,0.09138697983247933,0.0034917496165175893,1.6167617921761405e-06
64,1922.7120000000002,0.09199946228037549,0.004102526049760508,2.334199260006349e-06
65,1924.64,0.09269115083191116,0.0047922121110148975,3.3486137272570393e-06
66,1926.569,0.09346766066833948,0.005566306982013194,4.7749797395957355e-06
67,1928.497,0.09433235308199302,0.006428021009817429,6.765267553877639e-06
68,1930.4260000000002,0.09528935553101478,0.007381273159386929,9.526945355694654e-06
69,1932.354,0.09633975413133415,0.008426880973243567,1.3329611561919708e-05
70,1934.283,0.097485362386289,0.009566293873242288,1.8536322634352645e-05
71,1936.211,0.0987241719358222,0.010797040956215632,2.5610646715709275e-05
72,1938.14,0.10005493871343198,0.012117261365235476,3.516834918815975e-05
73,1940.068,0.10147192267800965,0.013520444033631762,4.7981480668576603e-05
74,1941.997,0.10297031733183223,0.015000769920751342,6.506155901982429e-05
75,1943.925,0.10454036363934538,0.01654723663979314,8.765296056718227e-05
76,1945.854,0.10617358872834365,0.018149762286394134,0.00011736369237798774
77,1947.7820000000002,0.10785643305041184,0.019792849281747748,0.0001561328099450928
78,1949.711,0.10957719046719494,0.021462319196062077,0.00020643157959210305
79,1951.639,0.11131933310526292,0.023138727655650886,0.0002711775266997868
80,1953.568,0.11306896574727271,0.024804511290248805,0.0003540377790541494
81,1955.496,0.1148080617098605,0.026437412552469796,0.0004592442258250037
82,1957.425,0.11652217111846351,0.02801773459047539,0.0005920428191286242
83,1959.3529999999998,0.11819378649115239,0.029522065461529245,0.0007583390449427426
84,1961.2820000000002,0.11980999113252103,0.03093026750097636,0.0009653528473336861
85,1963.21,0.1213561503601304,0.03221980046461464,0.0012209908132583885
86,1965.139,0.12282316716522386,0.03337203205344625,0.0015347872077524276
87,1967.067,0.12420164317837366,0.0343674469615037,0.001916859992572368
88,1968.996,0.12548843547645092,0.03519086524131959,0.0023792451668281276
89,1970.924,0.12668135381864648,0.03582778939173267,0.002934251016111747
90,1972.8529999999998,0.12778479088841543,0.03626816266560322,0.00359632594576628
91,1974.781,0.1288049269840853,0.03650405171816739,0.0043795846241461225
92,1976.71,0.1297543337425085,0.03653166628583627,0.005300387926417788
93,1978.638,0.1306475563805181,0.036350504813420996,0.006373783649889326
94,1980.567,0.13150475620313515,0.03596348132445161,0.007617018050753886
95,1982.495,0.13234744856429412,0.03537758138962736,0.009044621937555753
96,1984.424,0.13320143111243327,0.034602086401706394,0.01067311054065422
97,1986.352,0.13409238867411005,0.03365070350341202,0.012514462569215535
98,1988.281,0.13504852394699424,0.03253802315559907,0.014582289234710763
99,1990.2089999999998,0.13609571271428983,0.0312830057311735,0.016883506972793092
100,1992.138,0.1372603798697797,0.029903936269078994,0.01942625461293479
101,1994.066,0.13856390967841983,0.028423078687089133,0.022209653527696483
102,1995.995,0.14002636261637705,0.026860486228295555,0.025233709924763353
103,1997.9229999999998,0.14165991913778134,0.02523957730991542,0.028487186866449455
104,1999.852,0.14347398929269867,0.02358021162662957,0.03195963368272693
105,2001.78,0.1454675899805443,0.021904904014113373,0.03562755346276001
106,2003.7079999999999,0.14763508288288754,0.020232445519107436,0.03946651632866786
107,2005.6370000000002,0.14996337784172337,0.018580138561335,0.043446129189989705
108,2007.566,0.15242911683005414,0.016965251656773397,0.04752576601647133
109,2009.494,0.15500093287068722,0.015402983823329667,0.05165886132575688
110,2011.422,0.1576428756631921,0.013904737086784111,0.05579806227890304
111,2013.351,0.16031268714450225,0.012479842003016278,0.059891779744208076
112,2015.28,0.16295990721849346,0.011136947738860144,0.0638809049714576
113,2017.2079999999999,0.16553003752570694,0.00988238187539939,0.06770461253287613
114,2019.136,0.16796877307236455,0.008719075759831347,0.07130566557473253
115,2021.065,0.1702206149220481,0.007648257365315622,0.07462733667467032
116,2022.994,0.1722283862895157,0.006670606540361604,0.07761176971170511
117,2024.922,0.17393800159403155,0.0057851106801753436,0.08020589222268505
118,2026.85,0.17530166340854159,0.004988516220534965,0.08236515983199923
119,2028.779,0.17627675108598162,0.004276703753776602,0.0840510707874456
120,2030.7079999999999,0.1768266889127042,0.003645505316555116,0.08523121785151182
121,2032.636,0.17692425853762778,0.0030899751041753984,0.08588332899062447
122,2034.5639999999999,0.17655196754979482,0.0026041475880238633,0.08599587680963781
123,2036.493,0.17570127878180186,0.002181971681279583,0.0855663747151446
124,2038.422,0.17437443967569133,0.0018177887641128536,0.08460272928182991
125,2040.35,0.1725847185424023,0.0015058841291528927,0.08312392404083968
126,2042.2779999999998,0.17035333003576345,0.001240375178436689,0.08115705573114088
127,2044.207,0.16770939608281504,0.0010157394483817565,0.0787367682305083
128,2046.135,0.16469405204772802,0.0008271214405793057,0.07590905342721133
129,2048.064,0.1613491300624815,0.0006696091812450761,0.07272065440131192
130,2049.992,0.15772814329825444,0.0005390559046623024,0.06922923211541848
131,2051.9210000000003,0.15388101056534265,0.00043142846618016313,0.06548873749875318
132,2053.849,0.14986738658148469,0.0003433575910090067,0.061562195569579974
133,2055.778,0.14573929563490876,0.0002716717692830929,0.05750480110024532
134,2057.7070000000003,0.1415540063079982,0.00021372393319378706,0.05337647025381182
135,2059.635,0.13736657852070958,0.00016719702369710228,0.049234580522173846
136,2061.563,0.13322416728887826,0.00013005207793455973,0.04512832537114272
137,2063.492,0.12916954373934325,0.00010056824936469387,0.04110219626119336
138,2065.42,0.125246543056713,7.733482234351269e-05,0.03720144011838322
139,2067.349,0.12148499177278618,5.912097058091276e-05,0.033457113274984254
140,2069.277,0.11791660204436123,4.494498146835037e-05,0.029901910626231546
141,2071.206,0.11455935248059493,3.396804382127036e-05,0.0265546485666266
142,2073.135,0.11143079159449207,2.5525288386641672e-05,0.02343354099134403
143,2075.063,0.1085422370831502,1.9074266049939716e-05,0.02055044855953584
144,2076.991,0.1058965432170336,1.4172236254887084e-05,0.017908667769294003
145,2078.92,0.10349226542225674,1.046823471564236e-05,0.01550710449806711
146,2080.848,0.1013274450199694,7.6893467863239e-06,0.013344074007548048
147,2082.777,0.09939184326902761,5.614969278290127e-06,0.011409557133872494
148,2084.705,0.09767661396864188,4.077451736189272e-06,0.009694876352626593
149,2086.634,0.09616691085745872,2.9435379138365865e-06,0.008185317632770962
150,2088.563,0.0948490287777564,2.1128138153602386e-06,0.006867276743542694
151,2090.491,0.09370786785948441,1.5081349364454342e-06,0.0057257314723816646
